id,accuracy,all_correct
LRE01,1.0,True
LRE02,1.0,True
LRE03,0.0,False
LRE04,1.0,True
LRE05,1.0,True
LRE06,1.0,True
LRE07,1.0,True
LRE08,1.0,True
LRE09,1.0,True
LRE10,1.0,True
LRE11,0.25,False
LRE12,1.0,True
LRE13,1.0,True
LRE14,1.0,True
LRE15,1.0,True
LRE16,1.0,True
LRE17,1.0,True
LRE18,1.0,True
LRE19,1.0,True
NDM01,1.0,True
NDM02,1.0,True
NDM03,1.0,True
NDM04,0.0,False
NDM05,0.75,False
NDM06,0.0,False
NDM07,0.5,False
NDM08,1.0,True
NDM09,0.0,False
NDM10,1.0,True
NDM11,1.0,True
NDM12,1.0,True
NDM13,1.0,True
NDM14,1.0,True
NDM15,1.0,True
NDM16,1.0,True
NDM17,0.25,False
NDM18,1.0,True
NDM19,1.0,True
NDM20,1.0,True
NRO01,1.0,True
NRO02,1.0,True
NRO03,1.0,True
NRO04,1.0,True
NRO05,0.0,False
NRO06,1.0,True
NRO07,1.0,True
NRO08,1.0,True
NRO09,0.0,False
NRO10,1.0,True
NRO11,1.0,True
NRO12,1.0,True
NRO13,1.0,True
NRO14,1.0,True
NRO15,1.0,True
NRO16,1.0,True
UTR01,1.0,True
UTR02,1.0,True
UTR03,1.0,True
UTR04,1.0,True
UTR05,0.5,False
UTR06,1.0,True
UTR07,1.0,True
UTR08,1.0,True
UTR09,1.0,True
UTR10,1.0,True
